"PRO_COM","Municipality","IFC_decile","Year","GRINS_macroclass","GRINS_class","Period"
6060,"Coniolo",1,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6061,"Conzano",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6062,"Costa Vescovato",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6063,"Cremolino",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6065,"Denice",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6066,"Dernice",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6067,"Fabbrica Curone",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6068,"Felizzano",5,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6069,"Fraconalto",8,"2018","2 ITALIA DI MEZZO","2.3 - Frangia metropolitana de facto o de jure","Pre-COVID"
6070,"Francavilla Bisio",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6071,"Frascaro",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6072,"Frassinello Monferrato",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6073,"Frassineto Po",4,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6074,"Fresonara",6,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6075,"Frugarolo",7,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6076,"Fubine Monferrato",2,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6077,"Gabiano",5,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6078,"Gamalero",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6079,"Garbagna",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6081,"Gavi",4,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6082,"Giarole",8,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6083,"Gremiasco",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6084,"Grognardo",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6085,"Grondona",7,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6086,"Guazzora",9,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6087,"Isola Sant'Antonio",5,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6088,"Lerma",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6193,"Lu e Cuccaro Monferrato",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6090,"Malvicino",9,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6091,"Masio",6,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6092,"Melazzo",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6093,"Merana",6,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
6094,"Mirabello Monferrato",7,"2018","2 ITALIA DI MEZZO","2.1.2.1 - Continuum urbano-rurale litoraneo e/o di pianura scarsamente popolato","Pre-COVID"
6095,"Molare",8,"2018","2 ITALIA DI MEZZO","2.1.1.1 - Continuum urbano-rurale di montagna/collina interna scarsamente popolato","Pre-COVID"
